iter	Passed	Remaining
0	1	150
1	2	136
2	3	127
3	4	117
4	6	115
5	7	113
6	8	111
7	9	110
8	10	109
9	12	108
10	13	109
11	14	109
12	16	108
13	17	108
14	18	106
15	20	105
16	21	104
17	22	103
18	24	102
19	25	101
20	26	99
21	27	97
22	29	97
23	30	96
24	31	94
25	32	93
26	33	91
27	35	90
28	36	88
29	37	87
30	38	85
31	39	84
32	40	82
33	41	81
34	43	80
35	44	79
36	45	78
37	47	76
38	48	75
39	49	74
40	50	72
41	51	70
42	52	69
43	53	67
44	54	66
45	55	65
46	56	64
47	58	63
48	59	62
49	60	60
50	62	59
51	63	58
52	64	57
53	65	55
54	66	54
55	67	53
56	68	51
57	69	50
58	71	49
59	72	48
60	73	47
61	75	46
62	76	44
63	77	43
64	78	42
65	79	41
66	81	39
67	82	38
68	83	37
69	84	36
70	85	34
71	86	33
72	88	32
73	89	31
74	90	30
75	92	29
76	93	27
77	94	26
78	95	25
79	96	24
80	97	22
81	99	21
82	100	20
83	101	19
84	102	18
85	104	16
86	105	15
87	106	14
88	107	13
89	108	12
90	109	10
91	111	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	118	2
98	119	1
99	120	0
