iter	Passed	Remaining
0	146	146330
1	148	73977
2	149	49831
3	151	37747
4	153	30498
5	154	25656
6	157	22369
7	159	19761
8	161	17732
9	162	16107
10	164	14788
11	166	13680
12	167	12744
13	169	11939
14	172	11323
15	174	10754
16	176	10210
17	178	9723
18	179	9285
19	181	8891
20	183	8537
21	184	8213
22	187	7980
23	189	7719
24	191	7468
25	193	7250
26	195	7041
27	197	6851
28	198	6662
29	200	6487
30	205	6421
31	207	6270
32	209	6124
33	210	5984
34	212	5851
35	213	5727
36	215	5611
37	219	5547
38	221	5448
39	222	5345
40	224	5248
41	226	5155
42	227	5067
43	229	4982
44	230	4900
45	235	4884
46	237	4809
47	238	4737
48	240	4670
49	242	4606
50	244	4544
51	245	4482
52	248	4446
53	251	4413
54	253	4357
55	255	4302
56	256	4249
57	258	4197
58	260	4148
59	261	4103
60	266	4097
61	267	4051
62	269	4003
63	270	3955
64	276	3975
65	278	3936
66	281	3919
67	283	3889
68	285	3852
69	287	3818
70	289	3787
71	300	3878
72	302	3842
73	304	3807
74	305	3773
75	307	3742
76	314	3764
77	316	3744
78	319	3719
79	320	3688
80	322	3658
81	329	3691
82	330	3650
83	332	3621
84	333	3593
85	335	3566
86	338	3551
87	343	3557
88	345	3531
89	346	3505
90	349	3488
91	350	3459
92	351	3431
93	353	3404
94	358	3411
95	360	3390
96	362	3370
97	363	3349
98	365	3327
99	367	3304
100	368	3279
101	374	3298
102	376	3277
103	377	3256
104	379	3235
105	381	3215
106	383	3199
107	384	3179
108	389	3182
109	391	3164
110	392	3145
111	394	3131
112	404	3175
113	448	3482
114	449	3460
115	451	3438
116	452	3417
117	454	3397
118	456	3377
119	457	3358
120	459	3338
121	460	3316
122	494	3524
123	495	3503
124	497	3485
125	499	3466
126	502	3454
127	504	3440
128	507	3426
129	516	3458
130	518	3439
131	520	3423
132	523	3413
133	527	3408
134	529	3390
135	530	3372
136	534	3365
137	544	3400
138	546	3382
139	549	3372
140	550	3355
141	551	3333
142	556	3334
143	558	3319
